342,470,961,341,406
886,813,899,101,815
966,698,897.5,225,351
694,748,661,446,620
895,942,877,421,865
491,493,922,425,641
379.3333333,776,795,412,277.5
722,775,371,357,867
842,303,925,398,228
341,752,808,428,581
685,743,699,365,507
386.5,748,665,176,435
741,949,819,401.5,895
708,754,779,384,624
775,728,445.5,396,626
737,817,790,249,719
607,763,674,192,390
461.25,662,396,371,331
689,760,744,356,623
693,763,637,353,631
389.5,331,320,371,585
562,693,646,354,373
337,570,734,647,608
380,433,813,350,658
721,282,800,338,652
591,710,406,399,638
753,766,697,361,417.5
421,589,401,160,606
754,478,527,349,398
227,782,632,411,597
499,644,777,389,604
497,561,832,536,629
716,822,164,368,634
268,294,850,390,644
663,880,818,405,594
650,867,898,402,605
519,423,353,410,634
423.5,807,766,339,692
314.5,430,239,389,621
507,733,681,354,450
536,353,497,414,646
937,967,933,457,886
838.5,457,944,391,406
483,418,565,384,545
879,316,846,386,271
759,459,699,154,791
611,771,935,365,850
394.5,805,615,101,371
647,831,876,661,450
687,748,791,662,118
521,797,549,572,402
497.5,738,819,667,609
842,913,735,685,442
667,591,860,731,616
644,942,887,487,849
763,773,829,439,625
841,419,915,444,671
632,483,916,455,467.5
829,860,888,536,790
524,892,818,456,432
216,734,599,479,331
502,864,859,192,692
357,850,259,676,721
262,744,925,683,697
864,381,700,377,610
407,831,309,617,713
729,462,897,390,748
431,806,899,705,707
608,907,879,697,646
601,771,870,676,462
671,839,251,566,627
530,836,844,232,661
629,882,819,603,527
813,364,767,682,237
789,834,526,709,624
953,955,864,288,719
372,793,755,618,718
923,923,930,626,778
914,873,554,625,872
910,938,800,662,647
924,860,775,614,844
802,933,621,340,867
601,942,469,561,293
805,915,870,609,947
918,935,957,525,363.5
730,898,944,505,869
697,238,960,585,922
707,772,752,812,766
817,695,931,439,746
828,398,898,244,724
819,792,805,799,744
672,755,869,815,661
408.5,831,897,732,631
327.5,497,769,295,730
821,842,559,430,581.5
495,349,904,895,673
721,763,882,192,324
801,265,818,904,646
210,882,446,890,652
731,471,183,759,670
822,844,404,277,633
704,780,827,303,634
315,792,667,650,635
549,611.5,947,878,727
885,820,912,802,782
673,925,229,932,460
869,914,274,760,641
618,891,941,937,452.5
752,505,939,918,371
841,906,792,853,750
611,732,516,107,696
504,407,668,768,485
264,435,791,830,665
298,748,578,747,690
729,796,881,605,105
426,875,814,852,628
415.5,589,893,768,802
315,792,667,650,635
838.5,457,944,391,406
216,734,599,479,331
918,935,957,525,363.5
828,398,898,244,724
607,763,674,192,390
763,773,829,439,625
895,942,877,421,865
394.5,805,615,101,371
731,471,183,759,670
730,898,944,505,869
549,611.5,947,878,727
386.5,748,665,176,435
601,771,870,676,462
841,419,915,444,671
268,294,850,390,644
685,743,699,365,507
673,925,229,932,460
842,913,735,685,442
716,822,164,368,634
864,381,700,377,610
721,282,800,338,652
618,891,941,937,452.5
697,238,960,585,922
789,834,526,709,624
591,710,406,399,638
869,914,274,760,641
953,955,864,288,719
380,433,813,350,658
886,813,899,101,815
431,806,899,705,707
337,570,734,647,608
924,860,775,614,844
327.5,497,769,295,730
822,844,404,277,633
629,882,819,603,527
357,850,259,676,721
632,483,916,455,467.5
672,755,869,815,661
829,860,888,536,790
966,698,897.5,225,351
504,407,668,768,485
408.5,831,897,732,631
264,435,791,830,665
663,880,818,405,594
879,316,846,386,271
227,782,632,411,597
650,867,898,402,605
737,817,790,249,719
497,561,832,536,629
741,949,819,401.5,895
611,732,516,107,696
821,842,559,430,581.5
423.5,807,766,339,692
819,792,805,799,744
562,693,646,354,373
341,752,808,428,581
694,748,661,446,620
687,748,791,662,118
817,695,931,439,746
841,906,792,853,750
497.5,738,819,667,609
693,763,637,353,631
707,772,752,812,766
667,591,860,731,616
483,418,565,384,545
530,836,844,232,661
885,820,912,802,782
813,364,767,682,237
910,938,800,662,647
495,349,904,895,673
914,873,554,625,872
298,748,578,747,690
754,478,527,349,398
389.5,331,320,371,585
753,766,697,361,417.5
722,775,371,357,867
611,771,935,365,850
729,796,881,605,105
491,493,922,425,641
704,780,827,303,634
519,423,353,410,634
372,793,755,618,718
689,760,744,356,623
262,744,925,683,697
379.3333333,776,795,412,277.5
759,459,699,154,791
601,942,469,561,293
421,589,401,160,606
608,907,879,697,646
671,839,251,566,627
721,763,882,192,324
415.5,589,893,768,802
801,265,818,904,646
461.25,662,396,371,331
644,942,887,487,849
426,875,814,852,628
210,882,446,890,652
502,864,859,192,692
775,728,445.5,396,626
647,831,876,661,450
521,797,549,572,402
802,933,621,340,867
507,733,681,354,450
708,754,779,384,624
524,892,818,456,432
536,353,497,414,646
314.5,430,239,389,621
499,644,777,389,604
805,915,870,609,947
937,967,933,457,886
842,303,925,398,228
407,831,309,617,713
923,923,930,626,778
729,462,897,390,748
752,505,939,918,371
530,836,844,232,661
829,860,888,536,790
704,780,827,303,634
341,752,808,428,581
618,891,941,937,452.5
268,294,850,390,644
895,942,877,421,865
731,471,183,759,670
953,955,864,288,719
687,748,791,662,118
315,792,667,650,635
379.3333333,776,795,412,277.5
608,907,879,697,646
647,831,876,661,450
752,505,939,918,371
629,882,819,603,527
380,433,813,350,658
298,748,578,747,690
608,907,879,697,646
721,282,800,338,652
802,933,621,340,867
841,419,915,444,671
819,792,805,799,744
314.5,430,239,389,621
697,238,960,585,922
821,842,559,430,581.5
707,772,752,812,766
841,906,792,853,750
647,831,876,661,450
421,589,401,160,606
842,303,925,398,228
801,265,818,904,646
216,734,599,479,331
759,459,699,154,791
869,914,274,760,641
730,898,944,505,869
730,898,944,505,869
611,771,935,365,850
754,478,527,349,398
421,589,401,160,606
953,955,864,288,719
268,294,850,390,644
327.5,497,769,295,730
216,734,599,479,331
663,880,818,405,594
775,728,445.5,396,626
562,693,646,354,373
966,698,897.5,225,351
937,967,933,457,886
210,882,446,890,652
737,817,790,249,719
644,942,887,487,849
838.5,457,944,391,406
497.5,738,819,667,609
721,763,882,192,324
828,398,898,244,724
264,435,791,830,665
327.5,497,769,295,730
591,710,406,399,638
667,591,860,731,616
536,353,497,414,646
618,891,941,937,452.5
536,353,497,414,646
914,873,554,625,872
497.5,738,819,667,609
722,775,371,357,867
910,938,800,662,647
372,793,755,618,718
502,864,859,192,692
644,942,887,487,849
372,793,755,618,718
415.5,589,893,768,802
499,644,777,389,604
708,754,779,384,624
879,316,846,386,271
924,860,775,614,844
763,773,829,439,625
262,744,925,683,697
694,748,661,446,620
864,381,700,377,610
415.5,589,893,768,802
357,850,259,676,721
461.25,662,396,371,331
819,792,805,799,744
842,913,735,685,442
924,860,775,614,844
521,797,549,572,402
407,831,309,617,713
704,780,827,303,634
801,265,818,904,646
314.5,430,239,389,621
729,462,897,390,748
607,763,674,192,390
763,773,829,439,625
918,935,957,525,363.5
504,407,668,768,485
507,733,681,354,450
227,782,632,411,597
842,303,925,398,228
426,875,814,852,628
673,925,229,932,460
923,923,930,626,778
693,763,637,353,631
673,925,229,932,460
504,407,668,768,485
879,316,846,386,271
841,419,915,444,671
885,820,912,802,782
689,760,744,356,623
708,754,779,384,624
741,949,819,401.5,895
632,483,916,455,467.5
407,831,309,617,713
672,755,869,815,661
611,771,935,365,850
687,748,791,662,118
707,772,752,812,766
886,813,899,101,815
389.5,331,320,371,585
689,760,744,356,623
341,752,808,428,581
886,813,899,101,815
495,349,904,895,673
813,364,767,682,237
753,766,697,361,417.5
315,792,667,650,635
611,732,516,107,696
601,942,469,561,293
817,695,931,439,746
337,570,734,647,608
601,771,870,676,462
499,644,777,389,604
966,698,897.5,225,351
841,906,792,853,750
519,423,353,410,634
591,710,406,399,638
697,238,960,585,922
895,942,877,421,865
685,743,699,365,507
264,435,791,830,665
729,796,881,605,105
386.5,748,665,176,435
497,561,832,536,629
337,570,734,647,608
805,915,870,609,947
423.5,807,766,339,692
789,834,526,709,624
729,462,897,390,748
671,839,251,566,627
752,505,939,918,371
431,806,899,705,707
431,806,899,705,707
426,875,814,852,628
716,822,164,368,634
210,882,446,890,652
737,817,790,249,719
741,949,819,401.5,895
530,836,844,232,661
521,797,549,572,402
667,591,860,731,616
357,850,259,676,721
822,844,404,277,633
910,938,800,662,647
829,860,888,536,790
731,471,183,759,670
394.5,805,615,101,371
408.5,831,897,732,631
722,775,371,357,867
